url	title	view_count	video_count	thumbnail_video_id
http://matome.naver.jp/odai/2132876130063084301	『邦楽ロックバンド 解散ライブの動画』まとめ - NAVER まとめ	32	7	84xQbkm5ijA
http://blog.livedoor.jp/kinisoku/archives/3401781.html	【動画大量】UKロックのおすすめバンド貼って行こうぜ！！！：キニ速	32	78	jkaMiaRLgvY
http://onsoku.info/archives/51585586.html	 邦楽ロックバンドNo.1決定戦:おんそく！跡地	45	27	Wxbid_n4T_o
http://matome.naver.jp/odai/2132589790727181601	マジ泣きNujabes超名曲まとめ25 - NAVER まとめ	17	24	dZI6LAceH_0
http://blog.livedoor.jp/chihhylove/archives/7173110.html	ミュージック・ビデオ・アワードの受賞PVを貼っていくスレ【動画】 : あじゃじゃしたー	29	46	PlAAJnj5kEQ
http://blog.livedoor.jp/music_war/archives/1115640.html	2000年代デビュー組で一番音楽性が高い海外のバンドは?：路地裏音楽戦争	25	29	hyyo7-D8f5M
http://matome.naver.jp/odai/2133424304053617401	次は国立！？ライブ前に覚えたい！ももいろクローバーＺ・コールmixまとめ - NAVER まとめ	42	26	_rihbvLO8Dw
http://alfalfalfa.com/archives/5991437.html	【動画あり】特殊部隊の「スペツナズ」の訓練がガチでコエエエエｗｗｗ	5	4	M553AmdYqhg
http://blog.livedoor.jp/darkm/archives/51310397.html	最近の邦楽ロック注目株教えてたもれ : はれぞう	48	67	4Yo87XkRzoQ
http://www.youtube.com/watch?v=YYPD-9T1Jrs	RADIOHEAD PARANOID ANDROID - END FUJI ROCK FESTIVAL 2012 - YouTube	12	24	cXR9TD78wUo
http://matome.naver.jp/odai/2133307196995620301	AKB48 シングルPV まとめ - NAVER まとめ	134	27	SwXtaahxjls
http://www.youtube.com/results?search_query=yuki&oq=yuki&gs_l=youtube.3..0l6j0i4l4.4495.5000.0.5512.4.4.0.0.0.0.159.352.3j1.4.0...0.0...1ac.1.0jQxPTYg_G4	yuki - YouTube	4	22	U4xEiqiiJPw
http://ameblo.jp/so-guimauve/	guimauve	3	12	vglxk3JbHnQ
http://blog.livedoor.jp/darkm/archives/51455599.html	クラブ・ＤＪ・テクノ・ハウス音楽貼ってけ@youtube : はれぞう	21	139	oKaBpXKx8JE
http://www.youtube.com/watch?v=1wwilCs4Jqg	Sarah Brightman &amp; Hot Gossip - I Lost My Heart To A Starship - YouTube	4	26	bTFCwKvlKZo
http://www.youtube.com/watch?v=F1lEYyFILJw&feature=g-vrec	YUKI LIVE &quot;ティンカーベル Tinkerbell&quot; at Yokohama Arena 2011 - YouTube	12	24	JrjZquJsBow
http://www.youtube.com/watch?v=61Rx1F_FEdQ&feature=related	パワー・イン・ザ・ワールド - YouTube	14	24	Dz2ejlFpg0U
http://matome.naver.jp/odai/2133841695785197201	【クラブ】エレクトロ・ハウス抑えておきたい世界のDJ 5人【流行中】 - NAVER まとめ	19	10	jUe8uoKdHao
http://www.youtube.com/watch?v=LjPUqs-TQM8	THE BACK HORN - シリウス・コバルトブルー・戦う君よ - YouTube	4	25	BPxvOpD6iD8
http://www.youtube.com/watch?v=LjPUqs-TQM8&feature=g-vrec	THE BACK HORN - シリウス・コバルトブルー・戦う君よ - YouTube	3	25	UxFOab3O2js
http://matome.naver.jp/odai/2129044394069962401	クラブミュージック定番年表 1972年-2013年 196曲 - NAVER まとめ	41	191	NLrAFIO-DIY
http://www.youtube.com/watch?v=7EuRRy0dieY&feature=g-vrec	〜夕焼け目撃者〜 - YouTube	4	24	IRPk9zsmHJc
http://blog.livedoor.jp/darkm/archives/51450576.html	おいジャズ聴こうぜジャズ : はれぞう	14	106	xn91jIyJ7mc
http://blog.livedoor.jp/darkm/archives/51211517.html	おすすめのアンビエント系音楽おしえてくれ : はれぞう	23	62	6Oj8PzxB044
http://kari2mofu2.com/archives/1761818.html	洋楽ロックの知識が2000年代前半で止まってる俺に最近の流行りを教え : カリモフ	3	24	FfnIBnz2_zw
